S.No,District,Govt,Pvt Aided,Pvt Unaided,Total Teachers
1,Ariyalur,3836,660,1861,6357
2,Chennai,4552,5904,21444,31900
3,Coimbatore,8327,2402,15689,26418
4,Cuddalore,8902,2339,9305,20546
5,Dharmapuri,8375,186,5305,13866
6,Dindigul,7504,3476,5626,16606
7,Erode,7971,1307,8938,18216
8,Kancheepuram,10616,2243,16975,29834
9,Kanniyakumari,3686,4196,9095,16977
10,Karur,4668,595,3927,9190
11,Krishanagiri,8887,354,7299,16540
12,Madurai,7920,4834,12278,25032
13,Nagapattinam,5553,2357,4487,12397
14,Namakkal,6594,779,7590,14963
15,Perambalur,2589,457,2077,5123
16,Pudukkottai,8731,1149,4335,14215
17,Ramanathapuram,5015,2240,3824,11079
18,Salem,12416,1892,12254,26562
19,Sivaganga,5610,2091,4091,11792
20,Thanjavur,7796,3320,7798,18914
21,The Nilgiris,2265,1072,3135,6472
22,Theni,3979,2784,3918,10681
23,Thiruvallur,10136,1559,20317,32012
24,Thiruvarur,5355,1311,3069,9735
25,Thoothukkudi,3585,5720,5105,14410
26,Tiruchirappalli,8141,4729,9363,22233
27,Tirunelveli,6468,8566,10046,25080
28,Tiruvannamalai,11187,1264,6519,18970
29,Tiruppur,7781,917,9956,18654
30,Vellore,13782,3131,12906,29819
31,Viluppuram,14059,2225,8481,24765
32,Virudhunagar,6180,4158,4324,14662
State,Total,232466,80217,261337,574020